EnglishTerms;meaning;countINacad;EstonianTerms;EcountINsample2;ForeignTerms;FcountINsample2;sentenceEx;source
dermatitis;;4610;nahapõletik;295;dermatiit;457;;
tendinitis;;66;kõõlusepõletik;42;tendiniit;14;;
pharyngitis;;420;neelupõletik;37;farüngiit;7;;
poliomyelitis;;413;lastehalvatus;569;poliomüeliit;179;;
myocarditis;;969;südamelihasepõletik;96;müokardiit;457;;
otitis;;1144;kõrvapõletik;284;otiit;8;;
encephalitis;;2388;ajupõletik;110;entsefaliit;491;;
appendicitis;;1125;pimesoolepõletik;752;apenditsiit;16;;
hepatitis;;16031;maksapõletik;142;hepatiit;635;;
arthritis;;11413;liigesepõletik;366;artriit ;621;;
cystitis;;549;põiepõletik;542;tsüstiit;49;;
colitis;;3621;jämesoolepõletik;24;koliit;101;;
stomatitis;;771;suupõletik;12;stomatiit;59;;
metritis;;17;emakapõletik;45;metriit;37;;
osteophyte;;311;luukasvis;3;osteofüüt;8;;
ankylosis;;152;liigesejäikus;9;anküloos;2;;
thrombocyte;;212;vereliistak;161;trombotsüüt;238;;
adipocyte;;3695;rasvarakk;358;adipotsüüt;6;;
leukocyte;;8921;valgelible;87;leukotsüüt;127;;
erythrocyte;;7722;punalible;317;erütrotsüüt;156;;
phagocyte;;1616;õgirakk;21;fagotsüüt;14;;
diabetes;;79879;suhkruhaigus;742;diabeet;6008;;
eczema;;1759;sammaspool;15;ekseem;442;;
puberty;;1928;murdeiga;501;puberteet;536;;
haematoma;;430;verimuhk;5;hematoom;120;;
suicide;;11193;enesetapp;9702;suitsiid;1397;;
glaucoma;;1;rohekae;19;glaukoom;264;;
fracture;;21044;luumurd;2355;fraktuur;24;;
acupuncture;;2168;nõelravi;397;akupunktuur;122;;
capillary;;2824;juussoon;4;kapillaar;346;;
pupil;;3499;silmatera;375;pupill;442;;
comedo;;20;mustpea;289;komedoon;156;;
oedema;;1910;turse;2116;ödeem;16;;
scalp;;2604;peanahk;1846;skalp;503;;
tromb;;2601;verehüüve;242;tromb;1832;;
gonad;;1620;sugunääre;36;gonaad;2;;
neoplasm;;5632;uudismoodustis;14;neoplasma;1;;
psoriasis;;6111;soomussammaspool;10;psoriaas;677;;
somnambulism;;9;uneskõndimine;24;somnambulism;10;;
hirsutism;;918;liigkarvasus;4;hirsutism;12;;
autism;;5015;endassesulgumus;2;autism;946;;
alcoholism;;1699;joomatõbi;48;alkoholism;2280;;
metabolism;;28585;ainevahetus;4435;metabolism;228;;
dentine;;316;hambaluu;13;dentiin;30;;
urine;;16556;kusi;563;uriin;2458;;
antidote;;541;vastumürk;561;antidoot;47;;
keratin;;1588;sarvaine;14;keratiin;235;;
ascites;;2078;vesikõht;2;astsiit;7;;
suppository;;424;ravimküünal;15;suposiit;13;;
glucose;;44786;viinamarjasuhkur;23;glükoos;1197;;
nystagmus;;582;silmatõmblus;2;nüstagm;10;;
haemoglobin;;1948;verevärvnik;8;hemoglobiin;657;;
haemorrhoid;;25;pärakuveenikomu;3;hemorroid;401;;
vein;;14670;tõmbsoon;1;veen;1440;;
bronchus;;1006;kopsutoru;21;bronh;205;;
gamete;;1225;sugurakk;213;gameet;6;;
emphysema ;;2670;kopsupuhitus;11;emfüseem ;44;;
stenosis;;6002;kitsenemus;2;stenoos;52;;
anaesthesia;;;tuimastus;74;anesteesia;332;;
ganglion;;;tänk;6;ganglion;49;;
