EnglishTerms,meaning,countINacad,EstonianTerms,EcountINsample2,rel_Freq_Est,ForeignTerms,FcountINsample2,rel_Freq_Fore,sentenceEx,source,est_Ratio
haemoglobin,,1948.0,verevärvnik,8,0.014,hemoglobiin,657,1.134,,,0.012
psoriasis,,6111.0,soomussammaspool,10,0.017,psoriaas,677,1.168,,,0.015
pharmacy,,11504.0,rohuteadus,38,0.066,farmaatsia,687,1.185,,,0.055
osteoporosis,,7141.0,luuhõrenemine,296,0.511,osteoporoos,692,1.194,,,0.428
anaemia,,3283.0,kehvveresus,231,0.399,aneemia,741,1.279,,,0.312
melancholia,,46.0,raskemeelsus,129,0.223,melanhoolia,751,1.296,,,0.172
narcosis,,42.0,uimastus,10,0.017,narkoos,833,1.437,,,0.012
leukaemia,a malignant progressive disease in which bone marrows and other blood-forming organs produce lots of immature or abnormal leucocytes,1348.0,verevähk,363,0.626,leukeemia,881,1.52,,,0.412
autism,,5015.0,endassesulgumus,2,0.003,autism,946,1.632,,,0.002
malaria,,38151.0,halltõbi,85,0.147,malaaria,1128,1.946,,,0.075
glucose,,44786.0,viinamarjasuhkur,23,0.04,glükoos,1197,2.065,,,0.019
artery,,31058.0,tuiksoon,691,1.192,arter,1370,2.364,,,0.504
vein,,14670.0,tõmbsoon,1,0.002,veen,1440,2.485,,,0.001
euthanasia,the painless killing of a patient suffering from incurable disease,640.0,halastussurm,47,0.081,eutanaasia,1736,2.995,,,0.027
acne,,3861.0,vinnid,45,0.078,akne,1736,2.995,,,0.026
menstruation,,1298.0,kuupuhastus,132,0.228,menstruatsioon,1743,3.008,,,0.076
tromb,,2601.0,verehüüve,242,0.418,tromb,1832,3.161,,,0.132
asthma,,33675.0,hingeldus,215,0.371,astma,2210,3.813,,,0.097
alcoholism,,1699.0,joomatõbi,48,0.083,alkoholism,2280,3.934,,,0.021
urine,,16556.0,kusi,563,0.971,uriin,2458,4.241,,,0.229
diabetes,,79879.0,suhkruhaigus,742,1.28,diabeet,6008,10.367,,,0.124
